name,infectious,recovered,susceptible,vaccinated
Deggendorf,1,0,3599,400
Regensburg,1,0,13499,1500
Zwiesel,1,0,1349,150
Deggendorf,3,0,3597,400
Regensburg,1,0,13499,1500
Zwiesel,1,0,1349,150
Deggendorf,4,0,3596,400
Regensburg,1,0,13499,1500
Zwiesel,4,0,1346,150
Deggendorf,6,0,3594,400
Regensburg,1,0,13499,1500
Zwiesel,5,0,1345,150
Deggendorf,7,1,3592,400
Regensburg,0,1,13499,1500
Zwiesel,10,1,1339,150
Deggendorf,9,3,3588,400
Regensburg,0,1,13499,1500
Zwiesel,21,1,1328,150
Deggendorf,14,4,3582,400
Regensburg,0,1,13499,1500
Zwiesel,28,4,1318,150
Deggendorf,17,6,3577,400
Regensburg,0,1,13499,1500
Zwiesel,37,5,1308,150
Deggendorf,30,8,3562,400
Regensburg,0,1,13499,1500
Zwiesel,57,11,1282,150
Deggendorf,49,12,3539,400
Regensburg,0,1,13499,1500
Zwiesel,81,22,1247,150
Deggendorf,72,18,3510,400
Regensburg,0,1,13499,1500
Zwiesel,123,32,1195,150
Deggendorf,108,23,3469,400
Regensburg,0,1,13499,1500
Zwiesel,177,42,1131,150
Deggendorf,166,38,3396,400
Regensburg,0,1,13499,1500
Zwiesel,227,68,1055,150
Deggendorf,250,61,3289,400
Regensburg,1,1,13498,1500
Zwiesel,290,103,957,150
Deggendorf,342,89,3169,400
Regensburg,2,1,13497,1500
Zwiesel,340,155,855,150
Deggendorf,472,131,2997,400
Regensburg,3,1,13496,1500
Zwiesel,390,219,741,150
Deggendorf,618,202,2780,400
Regensburg,10,1,13489,1500
Zwiesel,406,295,649,150
Deggendorf,753,311,2536,400
Regensburg,17,1,13482,1500
Zwiesel,399,393,558,150
Deggendorf,895,430,2275,400
Regensburg,29,3,13468,1500
Zwiesel,383,494,473,150
Deggendorf,993,601,2006,400
Regensburg,46,4,13450,1500
Zwiesel,331,609,410,150
Deggendorf,1036,820,1744,400
Regensburg,68,10,13422,1500
Zwiesel,273,701,376,150
Deggendorf,1021,1062,1517,400
Regensburg,114,18,13368,1500
Zwiesel,224,792,334,150
Deggendorf,954,1325,1321,400
Regensburg,164,28,13308,1500
Zwiesel,159,877,314,150
Deggendorf,854,1594,1152,400
Regensburg,248,45,13207,1500
Zwiesel,115,940,295,150
Deggendorf,729,1856,1015,400
Regensburg,344,74,13082,1500
Zwiesel,94,974,282,150
Deggendorf,597,2083,920,400
Regensburg,454,130,12916,1500
Zwiesel,63,1016,271,150
Deggendorf,473,2279,848,400
Regensburg,645,192,12663,1500
Zwiesel,49,1036,265,150
Deggendorf,366,2448,786,400
Regensburg,881,293,12326,1500
Zwiesel,32,1055,263,150
Deggendorf,263,2585,752,400
Regensburg,1205,418,11877,1500
Zwiesel,23,1068,259,150
Deggendorf,196,2680,724,400
Regensburg,1614,584,11302,1500
Zwiesel,12,1079,259,150
Deggendorf,147,2752,701,400
Regensburg,2090,836,10574,1500
Zwiesel,6,1085,259,150
Deggendorf,98,2814,688,400
Regensburg,2594,1174,9732,1500
Zwiesel,4,1087,259,150
Deggendorf,68,2848,684,400
Regensburg,3132,1623,8745,1500
Zwiesel,0,1091,259,150
Deggendorf,53,2876,671,400
Regensburg,3511,2198,7791,1500
Zwiesel,0,1091,259,150
Deggendorf,34,2899,667,400
Regensburg,3749,2926,6825,1500
Zwiesel,0,1091,259,150
Deggendorf,24,2912,664,400
Regensburg,3786,3768,5946,1500
Zwiesel,0,1091,259,150
Deggendorf,23,2916,661,400
Regensburg,3576,4755,5169,1500
Zwiesel,0,1091,259,150
Deggendorf,12,2928,660,400
Regensburg,3302,5709,4489,1500
Zwiesel,1,1091,258,150
Deggendorf,9,2932,659,400
Regensburg,2828,6675,3997,1500
Zwiesel,1,1091,258,150
Deggendorf,9,2936,655,400
Regensburg,2334,7554,3612,1500
Zwiesel,1,1091,258,150
Deggendorf,6,2939,655,400
Regensburg,1861,8331,3308,1500
Zwiesel,1,1091,258,150
Deggendorf,7,2940,653,400
Regensburg,1386,9011,3103,1500
Zwiesel,1,1091,258,150
Deggendorf,7,2941,652,400
Regensburg,1037,9503,2960,1500
Zwiesel,0,1092,258,150
Deggendorf,5,2944,651,400
Regensburg,756,9888,2856,1500
Zwiesel,0,1092,258,150
Deggendorf,4,2945,651,400
Regensburg,544,10192,2764,1500
Zwiesel,0,1092,258,150
Deggendorf,3,2947,650,400
Regensburg,378,10397,2725,1500
Zwiesel,0,1092,258,150
Deggendorf,3,2947,650,400
Regensburg,268,10540,2692,1500
Zwiesel,0,1092,258,150
Deggendorf,1,2949,650,400
Regensburg,186,10644,2670,1500
Zwiesel,0,1092,258,150
Deggendorf,1,2949,650,400
Regensburg,116,10736,2648,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,92,10775,2633,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,61,10808,2631,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,44,10830,2626,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,28,10852,2620,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,18,10867,2615,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,17,10869,2614,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,15,10874,2611,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,9,10880,2611,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,4,10885,2611,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,4,10886,2610,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,1,10889,2610,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,1,10889,2610,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,1,10889,2610,1500
Zwiesel,0,1092,258,150
Deggendorf,0,2950,650,400
Regensburg,0,10890,2610,1500
Zwiesel,0,1092,258,150
